symbol,description,asset_class,base_currency,quote_currency,digits,point,tick_size,tick_value,contract_size,min_lot,max_lot,lot_step,spread_current,spread_avg,trade_allowed,trade_mode,sessions_count,trading_hours,volume_min,volume_max,margin_initial,currency_margin,path
AUDJPY.sd,Australian Dollar vs Japanese Yen,FX,AUD,JPY,3,0.00100000,0.00100000,0.64094347,100000.00,0.0100,150.0000,0.0100,19,19.00,YES,FULL,1,00:01-23:59,0.0100,150.0000,0.00,AUD,Standard\FX Group 2 - .SD\AUDJPY.sd
CADJPY.sd,Canadian Dollar vs Japanese Yen,FX,CAD,JPY,3,0.00100000,0.00100000,0.64094347,100000.00,0.0100,150.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,150.0000,0.00,CAD,Standard\FX Group 2 - .SD\CADJPY.sd
CHFJPY.sd,Swiss Frank vs Japanese Yen,FX,CHF,JPY,3,0.00100000,0.00100000,0.64094347,100000.00,0.0100,150.0000,0.0100,30,30.00,YES,FULL,1,00:01-23:59,0.0100,150.0000,0.00,CHF,Standard\FX Group 2 - .SD\CHFJPY.sd
EURJPY.sd,Euro vs Japanese Yen,FX,EUR,JPY,3,0.00100000,0.00100000,0.64094347,100000.00,0.0100,150.0000,0.0100,30,30.00,YES,FULL,1,00:00-00:00,0.0100,150.0000,0.00,EUR,Standard\FX Group 2 - .SD\EURJPY.sd
GBPJPY.sd,Great Britain Pound vs Japanese Yen,FX,GBP,JPY,3,0.00100000,0.00100000,0.64094347,100000.00,0.0100,150.0000,0.0100,20,20.00,YES,FULL,1,00:01-23:59,0.0100,150.0000,0.00,GBP,Standard\FX Group 2 - .SD\GBPJPY.sd
MXNJPY.sd,Mexican Peso vs Japanese Yen,FX,MXN,JPY,3,0.00100000,0.00100000,0.64094347,100000.00,0.0100,150.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,150.0000,0.00,MXN,Standard\FX Group 2 - .SD\MXNJPY.sd
NOKJPY.sd,Norway Kroner vs Japanese Yen,FX,NOK,JPY,3,0.00100000,0.00100000,0.64094347,100000.00,0.0100,150.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,150.0000,0.00,NOK,Standard\FX Group 2 - .SD\NOKJPY.sd
NZDJPY.sd,New Zealand Dollar vs Japanese Yen,FX,NZD,JPY,3,0.00100000,0.00100000,0.64094347,100000.00,0.0100,150.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,150.0000,0.00,NZD,Standard\FX Group 2 - .SD\NZDJPY.sd
SEKJPY.sd,Sweden Kronor vs Japanese Yen,FX,SEK,JPY,3,0.00100000,0.00100000,0.64094347,100000.00,0.0100,150.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,150.0000,0.00,SEK,Standard\FX Group 2 - .SD\SEKJPY.sd
SGDJPY.sd,Singapore Dollar vs Japanese Yen,FX,SGD,JPY,3,0.00100000,0.00100000,0.64094347,100000.00,0.0100,150.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,150.0000,0.00,SGD,Standard\FX Group 2 - .SD\SGDJPY.sd
USDJPY.sd,US Dollar vs Japanese Yen,FX,USD,JPY,3,0.00100000,0.00100000,0.64094347,100000.00,0.0100,150.0000,0.0100,20,20.00,YES,FULL,1,00:01-23:59,0.0100,150.0000,0.00,USD,Standard\FX Group 2 - .SD\USDJPY.sd
AUDCAD.sd,Australian Dollar vs Canadian Dollar,FX,AUD,CAD,5,0.00001000,0.00001000,0.73136304,100000.00,0.0100,100.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,100.0000,0.00,AUD,Standard\FX Group 3 - .SD\AUDCAD.sd
AUDNZD.sd,Australian Dollar vs New Zealand Dollar,FX,AUD,NZD,5,0.00001000,0.00001000,0.58086000,100000.00,0.0100,100.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,100.0000,0.00,AUD,Standard\FX Group 3 - .SD\AUDNZD.sd
AUDSGD.sd,Australian Dollar vs Singapore Dollar,FX,AUD,SGD,5,0.00001000,0.00001000,0.00000000,100000.00,0.0100,100.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,100.0000,0.00,AUD,Standard\FX Group 3 - .SD\AUDSGD.sd
CADSGD.sd,Canadian Dollar vs Singapore Dollar,FX,CAD,SGD,5,0.00001000,0.00001000,0.00000000,100000.00,0.0100,100.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,100.0000,0.00,CAD,Standard\FX Group 3 - .SD\CADSGD.sd
EURAUD.sd,Euro vs Australian Dollar,FX,EUR,AUD,5,0.00001000,0.00001000,0.66964000,100000.00,0.0100,100.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,100.0000,0.00,EUR,Standard\FX Group 3 - .SD\EURAUD.sd
EURCAD.sd,Euro vs Canadian Dollar,FX,EUR,CAD,5,0.00001000,0.00001000,0.73136304,100000.00,0.0100,100.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,100.0000,0.00,EUR,Standard\FX Group 3 - .SD\EURCAD.sd
EURNZD.sd,Euro vs New Zealand Dollar,FX,EUR,NZD,5,0.00001000,0.00001000,0.58086000,100000.00,0.0100,100.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,100.0000,0.00,EUR,Standard\FX Group 3 - .SD\EURNZD.sd
EURSGD.sd,Euro vs Singapore Dollar,FX,EUR,SGD,5,0.00001000,0.00001000,0.00000000,100000.00,0.0100,100.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,100.0000,0.00,EUR,Standard\FX Group 3 - .SD\EURSGD.sd
GBPAUD.sd,Great Britain Pound vs Australian Dollar,FX,GBP,AUD,5,0.00001000,0.00001000,0.66964000,100000.00,0.0100,100.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,100.0000,0.00,GBP,Standard\FX Group 3 - .SD\GBPAUD.sd
GBPCAD.sd,Great Britain Pound vs Canadian Dollar,FX,GBP,CAD,5,0.00001000,0.00001000,0.73136304,100000.00,0.0100,100.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,100.0000,0.00,GBP,Standard\FX Group 3 - .SD\GBPCAD.sd
GBPNZD.sd,Great Britain Pound vs NZD,FX,GBP,NZD,5,0.00001000,0.00001000,0.58086000,100000.00,0.0100,100.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,100.0000,0.00,GBP,Standard\FX Group 3 - .SD\GBPNZD.sd
GBPSGD.sd,Great Britian Pound vs Singapore Dollar,FX,GBP,SGD,5,0.00001000,0.00001000,0.00000000,100000.00,0.0100,100.0000,0.0100,0,0.00,YES,FULL,1,00:01-23:59,0.0100,100.0000,0.00,GBP,Standard\FX Group 3 - .SD\GBPSGD.sd
