time,open,high,low,close,tick_volume,spread,real_volume
2025-10-09 23:00:00,49.265,49.478,49.257,49.398,1144,13,0
2025-10-09 23:15:00,49.398,49.439,49.301,49.33,925,97,0
2025-10-09 23:30:00,49.329,49.33,49.119,49.303,1100,90,0
2025-10-09 23:45:00,49.304,49.346,49.113,49.126,776,92,0
2025-10-10 01:00:00,48.867,49.241,48.689,48.947,2275,175,0
2025-10-10 01:15:00,48.945,49.154,48.921,48.996,1490,350,0
2025-10-10 01:30:00,49.001,49.113,48.999,49.04,1173,350,0
2025-10-10 01:45:00,49.041,49.054,48.988,49.021,483,350,0
2025-10-10 02:00:00,49.02,49.058,48.915,48.982,710,281,0
2025-10-10 02:15:00,48.982,49.126,48.938,49.124,869,180,0
2025-10-10 02:30:00,49.123,49.154,49.009,49.138,858,181,0
2025-10-10 02:45:00,49.139,49.188,49.126,49.188,829,191,0
2025-10-10 03:00:00,49.198,49.409,49.195,49.396,2652,31,0
2025-10-10 03:15:00,49.398,49.575,49.391,49.564,1743,46,0
2025-10-10 03:30:00,49.564,49.632,49.499,49.616,1375,24,0
2025-10-10 03:45:00,49.62,49.711,49.599,49.66,2300,51,0
2025-10-10 04:00:00,49.661,49.759,49.497,49.648,2919,76,0
2025-10-10 04:15:00,49.648,49.673,49.415,49.641,3196,89,0
2025-10-10 04:30:00,49.633,49.664,49.468,49.627,2645,63,0
2025-10-10 04:45:00,49.627,49.699,49.566,49.586,2357,51,0
2025-10-10 05:00:00,49.586,49.655,49.543,49.628,1408,72,0
2025-10-10 05:15:00,49.627,49.681,49.595,49.606,1435,27,0
2025-10-10 05:30:00,49.606,49.648,49.512,49.521,1854,42,0
2025-10-10 05:45:00,49.519,49.562,49.416,49.492,2183,54,0
2025-10-10 06:00:00,49.491,49.504,49.284,49.307,3810,38,0
2025-10-10 06:15:00,49.303,49.358,49.171,49.261,3994,52,0
2025-10-10 06:30:00,49.262,49.366,49.179,49.192,2886,25,0
2025-10-10 06:45:00,49.191,49.259,49.129,49.168,1796,48,0
2025-10-10 07:00:00,49.172,49.199,48.819,48.939,3110,56,0
2025-10-10 07:15:00,48.939,49.226,48.93,49.201,2599,56,0
2025-10-10 07:30:00,49.201,49.285,49.136,49.264,1956,30,0
2025-10-10 07:45:00,49.264,49.368,49.257,49.366,1594,57,0
2025-10-10 08:00:00,49.368,49.585,49.365,49.583,2185,0,0
2025-10-10 08:15:00,49.584,49.657,49.55,49.596,2265,7,0
2025-10-10 08:30:00,49.598,49.688,49.479,49.611,2668,27,0
2025-10-10 08:45:00,49.61,49.884,49.56,49.879,3094,21,0
2025-10-10 09:00:00,49.88,49.919,49.737,49.802,3354,20,0
2025-10-10 09:15:00,49.8,49.992,49.778,49.948,3214,14,0
2025-10-10 09:30:00,49.948,49.993,49.879,49.948,3346,9,0
2025-10-10 09:45:00,49.948,49.952,49.737,49.908,2081,0,0
