time,open,high,low,close,tick_volume,spread,real_volume
2025-10-09 22:30:00,1618.85,1621.75,1618.15,1621.15,85,930,0
2025-10-09 22:45:00,1621.25,1623.25,1620.35,1621.65,62,1050,0
2025-10-09 23:00:00,1621.55,1624.15,1621.35,1622.85,49,880,0
2025-10-09 23:15:00,1623.25,1623.35,1619.75,1620.45,56,870,0
2025-10-09 23:30:00,1620.55,1621.05,1616.75,1617.35,113,758,0
2025-10-09 23:45:00,1617.05,1619.27,1614.05,1619.27,61,1110,0
2025-10-10 01:00:00,1622.05,1623.25,1620.35,1622.05,17,1013,0
2025-10-10 01:15:00,1622.05,1628.85,1622.05,1627.4,470,529,0
2025-10-10 01:30:00,1627.56,1631.1,1625.34,1629.18,978,422,0
2025-10-10 01:45:00,1629.6,1631.31,1627.63,1627.63,340,456,0
2025-10-10 02:00:00,1627.64,1629.06,1625.67,1627.67,492,627,0
2025-10-10 02:15:00,1627.67,1631.29,1627.53,1630.52,361,517,0
2025-10-10 02:30:00,1630.49,1634.78,1628.81,1634.09,434,596,0
2025-10-10 02:45:00,1634.05,1634.07,1626.57,1627.63,877,351,0
2025-10-10 03:00:00,1627.38,1627.68,1618.2,1621.79,1201,287,0
2025-10-10 03:15:00,1622.38,1624.46,1620.16,1624.3,703,718,0
2025-10-10 03:30:00,1624.27,1626.38,1622.46,1625.92,542,694,0
2025-10-10 03:45:00,1626.13,1627.77,1624.74,1625.55,519,954,0
2025-10-10 04:00:00,1624.58,1627.95,1623.2,1625.45,659,958,0
2025-10-10 04:15:00,1625.45,1625.45,1615.9,1616.79,1171,398,0
2025-10-10 04:30:00,1616.76,1616.76,1608.85,1613.72,1451,704,0
2025-10-10 04:45:00,1613.32,1618.53,1613.23,1613.87,1146,776,0
2025-10-10 05:00:00,1613.77,1618.02,1610.86,1612.48,1039,907,0
2025-10-10 05:15:00,1612.45,1617.66,1612.34,1616.64,797,800,0
2025-10-10 05:30:00,1616.53,1617.92,1613.45,1613.79,811,763,0
2025-10-10 05:45:00,1613.78,1614.86,1607.78,1609.15,936,842,0
2025-10-10 06:00:00,1609.11,1612.07,1599.64,1604.31,966,513,0
2025-10-10 06:45:00,1600.59,1601.85,1598.82,1600.92,328,973,0
2025-10-10 07:00:00,1601.55,1604.01,1583.29,1585.04,1188,728,0
2025-10-10 07:15:00,1584.82,1594.9,1584.68,1594.0,1086,733,0
2025-10-10 07:30:00,1593.98,1598.29,1591.32,1596.54,974,675,0
2025-10-10 07:45:00,1596.57,1601.15,1595.23,1600.86,607,623,0
2025-10-10 08:00:00,1600.83,1603.41,1594.63,1600.49,1015,366,0
2025-10-10 08:15:00,1600.48,1602.55,1599.77,1600.09,753,287,0
2025-10-10 08:30:00,1600.22,1603.14,1594.8,1602.35,1106,320,0
2025-10-10 08:45:00,1602.36,1603.19,1597.9,1599.15,936,353,0
