time,open,high,low,close,tick_volume,spread,real_volume
2025-10-09 23:45:00,0.80616,0.80627,0.80603,0.80624,469,7,0
2025-10-10 00:00:00,0.80617,0.80617,0.80601,0.80617,7,171,0
2025-10-10 00:30:00,0.8056,0.8056,0.80532,0.80544,177,137,0
2025-10-10 00:45:00,0.80547,0.8055,0.80508,0.80533,240,131,0
2025-10-10 01:00:00,0.80532,0.80627,0.80523,0.80601,302,12,0
2025-10-10 01:15:00,0.80601,0.80619,0.80599,0.80617,2118,8,0
2025-10-10 01:30:00,0.80618,0.80634,0.80613,0.80629,320,12,0
2025-10-10 01:45:00,0.8063,0.80631,0.80622,0.80624,187,13,0
2025-10-10 02:00:00,0.80623,0.80674,0.80623,0.80661,363,12,0
2025-10-10 02:15:00,0.80662,0.80663,0.80623,0.80627,189,11,0
2025-10-10 02:30:00,0.80627,0.8064,0.80613,0.8062,149,10,0
2025-10-10 02:45:00,0.80618,0.80632,0.80612,0.80621,335,11,0
2025-10-10 03:00:00,0.80623,0.80665,0.80611,0.80656,766,8,0
2025-10-10 03:15:00,0.80654,0.80656,0.80631,0.80646,337,7,0
2025-10-10 03:30:00,0.80646,0.80654,0.80625,0.80647,324,9,0
2025-10-10 03:45:00,0.80648,0.80659,0.80623,0.80627,563,9,0
2025-10-10 04:00:00,0.80627,0.80652,0.80612,0.80646,425,9,0
2025-10-10 04:15:00,0.80646,0.80649,0.80624,0.80643,390,9,0
2025-10-10 04:30:00,0.80639,0.80658,0.80635,0.80637,320,8,0
2025-10-10 04:45:00,0.80637,0.80664,0.80617,0.80661,535,10,0
2025-10-10 05:00:00,0.8066,0.80664,0.8061,0.80619,478,9,0
2025-10-10 05:15:00,0.80621,0.80627,0.80596,0.80601,309,9,0
2025-10-10 05:30:00,0.80601,0.80618,0.80597,0.80614,225,10,0
2025-10-10 05:45:00,0.80614,0.80633,0.80614,0.80624,235,8,0
2025-10-10 06:00:00,0.80624,0.80645,0.80607,0.80642,261,6,0
2025-10-10 06:15:00,0.80641,0.80645,0.80615,0.80617,272,11,0
2025-10-10 06:30:00,0.80614,0.80624,0.80591,0.80597,488,11,0
2025-10-10 06:45:00,0.80597,0.80604,0.80581,0.80591,349,10,0
2025-10-10 07:00:00,0.80591,0.80636,0.80582,0.80627,342,10,0
2025-10-10 07:15:00,0.8063,0.80633,0.8059,0.80599,280,10,0
2025-10-10 07:30:00,0.80599,0.80615,0.80592,0.80595,232,11,0
2025-10-10 07:45:00,0.80597,0.80599,0.80584,0.80584,265,10,0
2025-10-10 08:00:00,0.80584,0.80592,0.80565,0.80591,287,9,0
2025-10-10 08:15:00,0.8059,0.8059,0.80564,0.80577,177,7,0
2025-10-10 08:30:00,0.80576,0.80595,0.80572,0.80573,341,9,0
2025-10-10 08:45:00,0.80575,0.80586,0.80562,0.80582,280,9,0
2025-10-10 09:00:00,0.80581,0.80596,0.80575,0.80593,429,7,0
2025-10-10 09:15:00,0.80592,0.80595,0.80567,0.8058,499,5,0
2025-10-10 09:30:00,0.80579,0.80611,0.80506,0.80568,2049,3,0
2025-10-10 09:45:00,0.80568,0.806,0.80529,0.80556,1115,7,0
2025-10-10 10:00:00,0.80557,0.806,0.80513,0.80517,1404,5,0
2025-10-10 10:15:00,0.80517,0.80597,0.80506,0.80558,1060,5,0
2025-10-10 10:30:00,0.80557,0.80581,0.80541,0.80557,776,7,0
2025-10-10 10:45:00,0.80558,0.80578,0.8055,0.80572,601,4,0
2025-10-10 11:00:00,0.80574,0.80592,0.8051,0.80525,894,7,0
2025-10-10 11:15:00,0.80523,0.80546,0.80498,0.80509,639,8,0
2025-10-10 11:30:00,0.80509,0.80513,0.80467,0.80488,888,8,0
2025-10-10 11:45:00,0.80489,0.80521,0.80488,0.80512,519,6,0
2025-10-10 12:00:00,0.80512,0.80536,0.80491,0.80527,442,6,0
2025-10-10 12:15:00,0.80528,0.80574,0.80526,0.80566,521,6,0
2025-10-10 12:30:00,0.80567,0.80589,0.80561,0.8057,374,8,0
2025-10-10 12:45:00,0.80569,0.80572,0.80541,0.8056,367,8,0
2025-10-10 13:00:00,0.80559,0.8059,0.80556,0.8056,371,7,0
2025-10-10 13:15:00,0.80562,0.80563,0.80529,0.80545,288,9,0
2025-10-10 13:30:00,0.80544,0.80587,0.80544,0.80584,257,7,0
2025-10-10 13:45:00,0.80584,0.806,0.80582,0.80595,514,8,0
2025-10-10 14:00:00,0.80595,0.80599,0.80572,0.80583,573,7,0
2025-10-10 14:15:00,0.80582,0.80615,0.80566,0.80593,370,8,0
2025-10-10 14:30:00,0.80592,0.8062,0.80573,0.80582,753,7,0
2025-10-10 14:45:00,0.80585,0.80633,0.80576,0.80631,782,8,0
2025-10-10 15:00:00,0.80633,0.80644,0.80556,0.8056,1012,7,0
2025-10-10 15:15:00,0.80559,0.8056,0.8051,0.80534,555,8,0
2025-10-10 15:30:00,0.80532,0.80559,0.80523,0.80527,931,7,0
2025-10-10 15:45:00,0.8053,0.80565,0.80512,0.80551,853,0,0
2025-10-10 16:00:00,0.8055,0.80613,0.80549,0.80565,774,6,0
2025-10-10 16:15:00,0.80566,0.80574,0.80514,0.8055,583,7,0
2025-10-10 16:30:00,0.8055,0.80591,0.80519,0.80549,1153,6,0
2025-10-10 16:45:00,0.80549,0.80566,0.80509,0.80521,873,5,0
2025-10-10 17:00:00,0.80521,0.80571,0.80515,0.80544,1329,4,0
2025-10-10 17:15:00,0.80545,0.80605,0.80539,0.80583,903,5,0
2025-10-10 17:30:00,0.80584,0.80592,0.80527,0.80552,926,6,0
2025-10-10 17:45:00,0.80553,0.80564,0.8047,0.80477,1769,0,0
2025-10-10 18:00:00,0.80477,0.80477,0.80114,0.80208,5620,4,0
2025-10-10 18:15:00,0.80206,0.80232,0.80029,0.80033,4342,3,0
2025-10-10 18:30:00,0.80032,0.80118,0.79994,0.80114,4461,0,0
2025-10-10 18:45:00,0.80114,0.80178,0.80098,0.80143,2183,5,0
2025-10-10 19:00:00,0.80142,0.80152,0.80074,0.80102,2046,6,0
2025-10-10 19:15:00,0.80103,0.80212,0.80095,0.80188,1506,6,0
2025-10-10 19:30:00,0.80191,0.80206,0.80138,0.80141,1610,8,0
2025-10-10 19:45:00,0.80141,0.80161,0.80128,0.80136,1367,6,0
2025-10-10 20:00:00,0.80137,0.80209,0.80115,0.80183,1521,7,0
2025-10-10 20:15:00,0.80179,0.80187,0.80112,0.80137,1607,5,0
2025-10-10 20:30:00,0.8014,0.80175,0.80129,0.80158,984,8,0
2025-10-10 20:45:00,0.80158,0.80181,0.80141,0.80175,597,7,0
2025-10-10 21:00:00,0.80176,0.8019,0.80141,0.80161,680,7,0
2025-10-10 21:15:00,0.80158,0.80191,0.80116,0.80116,763,7,0
2025-10-10 21:30:00,0.80119,0.8014,0.80099,0.80131,1048,6,0
2025-10-10 21:45:00,0.80131,0.80144,0.80086,0.80124,702,8,0
2025-10-10 22:00:00,0.80123,0.80153,0.80118,0.80118,508,7,0
2025-10-10 22:15:00,0.80116,0.80143,0.80107,0.80113,629,3,0
2025-10-10 22:30:00,0.80112,0.80117,0.80079,0.80087,603,5,0
2025-10-10 22:45:00,0.80088,0.80122,0.80076,0.80103,745,7,0
2025-10-10 23:00:00,0.80104,0.80121,0.80081,0.80113,356,8,0
2025-10-10 23:15:00,0.80112,0.80124,0.80094,0.80101,308,9,0
2025-10-10 23:30:00,0.80101,0.80139,0.80086,0.80121,193,8,0
2025-10-10 23:45:00,0.80121,0.80132,0.79863,0.79864,2052,0,0
