time,open,high,low,close,tick_volume,spread,real_volume
2025-10-10 00:00:00,153.077,153.077,152.993,152.993,12,20,0
2025-10-10 00:15:00,152.99,153.055,152.988,153.055,91,54,0
2025-10-10 00:30:00,153.055,153.062,153.048,153.055,48,41,0
2025-10-10 00:45:00,153.053,153.056,153.044,153.05,83,29,0
2025-10-10 01:00:00,153.049,153.082,152.97,153.048,702,8,0
2025-10-10 01:15:00,153.049,153.064,153.011,153.057,373,8,0
2025-10-10 01:30:00,153.058,153.068,153.031,153.054,278,8,0
2025-10-10 01:45:00,153.053,153.06,153.023,153.027,209,8,0
2025-10-10 02:00:00,153.027,153.271,153.027,153.226,1155,8,0
2025-10-10 02:15:00,153.226,153.235,153.055,153.07,1385,8,0
2025-10-10 02:30:00,153.07,153.122,153.037,153.044,1055,8,0
2025-10-10 02:45:00,153.044,153.09,152.961,153.026,1911,8,0
2025-10-10 03:00:00,153.026,153.16,152.962,153.149,2835,8,0
2025-10-10 03:15:00,153.148,153.159,153.022,153.076,1402,8,0
2025-10-10 03:30:00,153.078,153.132,153.048,153.089,1179,8,0
2025-10-10 03:45:00,153.089,153.128,152.935,152.951,2645,8,0
2025-10-10 04:00:00,152.951,153.0,152.848,152.9,1998,8,0
2025-10-10 04:15:00,152.897,152.93,152.833,152.92,1459,8,0
2025-10-10 04:30:00,152.92,152.982,152.917,152.939,1183,8,0
2025-10-10 04:45:00,152.94,153.044,152.928,153.018,1066,8,0
2025-10-10 05:00:00,153.018,153.033,152.863,152.953,1431,8,0
2025-10-10 05:15:00,152.953,152.963,152.867,152.877,952,8,0
2025-10-10 05:30:00,152.876,152.957,152.864,152.943,601,8,0
2025-10-10 05:45:00,152.949,152.96,152.894,152.913,764,8,0
2025-10-10 06:00:00,152.915,152.938,152.825,152.884,977,8,0
2025-10-10 06:15:00,152.884,152.887,152.786,152.827,666,8,0
2025-10-10 06:30:00,152.827,152.839,152.714,152.723,1078,8,0
2025-10-10 06:45:00,152.723,152.749,152.641,152.663,894,8,0
2025-10-10 07:00:00,152.663,152.737,152.636,152.724,1083,8,0
2025-10-10 07:15:00,152.725,152.768,152.665,152.734,692,8,0
2025-10-10 07:30:00,152.735,152.801,152.728,152.775,636,8,0
2025-10-10 07:45:00,152.775,152.83,152.743,152.747,718,8,0
2025-10-10 08:00:00,152.747,152.775,152.678,152.769,1045,8,0
2025-10-10 08:15:00,152.769,152.776,152.712,152.753,710,8,0
2025-10-10 08:30:00,152.754,152.834,152.742,152.754,850,8,0
2025-10-10 08:45:00,152.754,152.845,152.745,152.831,1540,8,0
2025-10-10 09:00:00,152.832,152.897,152.814,152.873,1300,8,0
2025-10-10 09:15:00,152.873,152.915,152.825,152.848,1469,8,0
2025-10-10 09:30:00,152.849,152.897,152.367,152.702,6060,8,0
2025-10-10 09:45:00,152.702,152.742,152.494,152.525,4201,8,0
2025-10-10 10:00:00,152.525,152.744,152.477,152.699,5262,8,0
2025-10-10 10:15:00,152.699,152.948,152.671,152.878,3648,8,0
2025-10-10 10:30:00,152.878,152.909,152.81,152.834,2344,8,0
2025-10-10 10:45:00,152.835,152.902,152.8,152.842,2059,8,0
2025-10-10 11:00:00,152.843,152.935,152.658,152.707,3025,8,0
2025-10-10 11:15:00,152.708,152.719,152.584,152.631,2099,8,0
2025-10-10 11:30:00,152.631,152.753,152.631,152.733,2114,8,0
2025-10-10 11:45:00,152.733,152.757,152.641,152.642,1787,8,0
2025-10-10 12:00:00,152.642,152.702,152.605,152.682,1643,8,0
2025-10-10 12:15:00,152.681,152.781,152.649,152.77,2013,8,0
2025-10-10 12:30:00,152.771,152.844,152.758,152.82,1099,8,0
2025-10-10 12:45:00,152.819,152.821,152.748,152.789,1732,8,0
2025-10-10 13:00:00,152.787,152.812,152.716,152.722,1313,8,0
2025-10-10 13:15:00,152.722,152.723,152.624,152.676,1256,8,0
2025-10-10 13:30:00,152.675,152.744,152.674,152.731,983,8,0
2025-10-10 13:45:00,152.731,152.737,152.67,152.716,1011,8,0
2025-10-10 14:00:00,152.716,152.755,152.674,152.695,1135,8,0
2025-10-10 14:15:00,152.694,152.737,152.665,152.699,1321,8,0
2025-10-10 14:30:00,152.698,152.739,152.547,152.56,2092,8,0
2025-10-10 14:45:00,152.56,152.645,152.539,152.63,1622,8,0
2025-10-10 15:00:00,152.629,152.65,152.509,152.543,1740,8,0
2025-10-10 15:15:00,152.543,152.59,152.51,152.565,1822,8,0
2025-10-10 15:30:00,152.566,152.607,152.525,152.525,1803,8,0
2025-10-10 15:45:00,152.528,152.588,152.515,152.556,1347,8,0
2025-10-10 16:00:00,152.557,152.686,152.544,152.637,2057,8,0
2025-10-10 16:15:00,152.636,152.657,152.529,152.642,1696,8,0
2025-10-10 16:30:00,152.641,152.686,152.584,152.627,2903,9,0
2025-10-10 16:45:00,152.627,152.668,152.589,152.649,1813,9,0
2025-10-10 17:00:00,152.65,152.705,152.561,152.582,2838,9,0
2025-10-10 17:15:00,152.584,152.656,152.546,152.618,2729,9,0
2025-10-10 17:30:00,152.619,152.64,152.589,152.624,1909,9,0
2025-10-10 17:45:00,152.624,152.64,152.412,152.452,3561,9,0
2025-10-10 18:00:00,152.451,152.451,151.828,152.021,9581,9,0
2025-10-10 18:15:00,152.02,152.041,151.604,151.605,7717,9,0
2025-10-10 18:30:00,151.604,151.881,151.498,151.871,8702,9,0
2025-10-10 18:45:00,151.87,151.962,151.817,151.937,7086,9,0
2025-10-10 19:00:00,151.937,151.976,151.836,151.924,4883,9,0
2025-10-10 19:15:00,151.925,152.18,151.923,152.079,4282,9,0
2025-10-10 19:30:00,152.078,152.129,151.98,151.998,3760,9,0
2025-10-10 19:45:00,151.998,152.02,151.863,151.882,2831,9,0
