time,open,high,low,close,tick_volume,spread,real_volume
2025-10-09 12:30:00,16.68,16.68,16.68,16.68,1,70,0
2025-10-09 13:00:00,16.73,16.73,16.68,16.68,2,70,0
2025-10-09 13:15:00,16.73,16.73,16.73,16.73,1,70,0
2025-10-09 14:00:00,16.73,16.73,16.73,16.73,1,70,0
2025-10-09 14:45:00,16.68,16.73,16.68,16.73,4,70,0
2025-10-09 15:00:00,16.73,16.73,16.73,16.73,1,70,0
2025-10-09 16:15:00,16.68,16.73,16.68,16.73,3,70,0
2025-10-09 16:30:00,16.78,16.78,16.68,16.78,6,70,0
2025-10-09 16:45:00,16.83,16.88,16.78,16.88,34,70,0
2025-10-09 17:00:00,16.93,16.98,16.88,16.93,42,70,0
2025-10-09 17:15:00,16.98,17.03,16.93,16.98,23,70,0
2025-10-09 17:30:00,17.03,17.23,17.03,17.23,25,70,0
2025-10-09 17:45:00,17.28,17.28,17.03,17.03,44,70,0
2025-10-09 18:00:00,17.03,17.08,16.93,16.93,16,70,0
2025-10-09 18:15:00,16.88,17.03,16.88,17.03,21,70,0
2025-10-09 18:30:00,17.08,17.13,17.03,17.03,31,70,0
2025-10-09 18:45:00,17.08,17.08,16.88,16.93,26,70,0
2025-10-09 19:00:00,16.88,16.98,16.88,16.93,45,70,0
2025-10-09 19:15:00,16.93,17.03,16.93,16.93,27,70,0
2025-10-09 19:30:00,16.93,17.08,16.88,16.98,23,70,0
2025-10-09 19:45:00,16.98,17.18,16.93,17.18,48,70,0
2025-10-09 20:00:00,17.13,17.23,17.08,17.13,46,70,0
2025-10-09 20:15:00,17.08,17.18,17.08,17.18,49,70,0
2025-10-09 20:30:00,17.23,17.23,17.08,17.13,32,70,0
2025-10-09 20:45:00,17.08,17.13,17.03,17.03,36,70,0
2025-10-09 21:00:00,17.08,17.18,17.03,17.13,24,70,0
2025-10-09 21:15:00,17.08,17.08,16.98,17.03,20,70,0
2025-10-09 21:30:00,16.98,17.03,16.98,16.98,3,70,0
2025-10-09 21:45:00,17.03,17.03,16.98,16.98,11,70,0
2025-10-09 22:00:00,16.93,16.93,16.88,16.93,3,70,0
2025-10-09 22:15:00,16.98,16.98,16.88,16.88,31,70,0
2025-10-09 22:30:00,16.83,16.88,16.78,16.78,4,70,0
2025-10-09 22:45:00,16.83,16.88,16.83,16.88,9,70,0
2025-10-09 23:00:00,16.83,16.83,16.83,16.83,2,70,0
2025-10-09 23:30:00,16.88,16.88,16.88,16.88,2,70,0
2025-10-10 01:00:00,16.92,16.92,16.92,16.92,1,70,0
2025-10-10 01:15:00,16.92,16.92,16.92,16.92,1,70,0
2025-10-10 01:30:00,16.92,16.92,16.87,16.87,2,70,0
2025-10-10 02:00:00,16.87,16.87,16.87,16.87,1,70,0
2025-10-10 03:00:00,16.82,16.87,16.82,16.87,2,70,0
2025-10-10 03:15:00,16.87,16.87,16.87,16.87,1,70,0
2025-10-10 05:00:00,16.87,16.87,16.87,16.87,1,70,0
2025-10-10 06:00:00,16.92,16.92,16.92,16.92,1,70,0
2025-10-10 08:00:00,16.92,16.97,16.92,16.92,4,70,0
2025-10-10 08:15:00,16.92,16.92,16.92,16.92,1,70,0
2025-10-10 09:00:00,16.87,16.87,16.87,16.87,2,70,0
2025-10-10 09:15:00,16.92,16.92,16.87,16.92,3,70,0
2025-10-10 09:30:00,16.87,16.97,16.87,16.92,5,70,0
2025-10-10 09:45:00,16.92,16.97,16.92,16.92,7,70,0
2025-10-10 10:00:00,16.92,16.92,16.87,16.92,3,70,0
2025-10-10 10:15:00,16.87,16.92,16.87,16.87,4,70,0
2025-10-10 10:30:00,16.87,16.92,16.87,16.92,2,70,0
